id,instruction,rule_total,rule_action,rule_param,rule_logic,llm_total,llm_intent,llm_param,llm_logic,llm_reasoning,gt_actions,gen_actions
wf_0011,我想让AI帮我运行代码，比如从文件里读取数据，然后生成代码并执行，最后把结果给我。,46.0,50.0,0.0,80,19.0,20,10,30,"The generated UTR captures the basic intent of reading data and generating code but lacks semantic equivalence to the ground truth. Intent match is low (20%) because it oversimplifies the multi-step process (file selection, data reading, LLM generation, code extraction, execution, and result extraction) into just two vague actions. Parameter accuracy is poor (10%) as key parameters like file paths, code content, and prompt templates are missing. Logic/flow score is moderate (30%) since it maintains sequential order but lacks conditional logic and detailed dependencies. Completeness is minimal (10%) as it omits most necessary steps (e.g., code execution, result handling) and includes unnecessary resources without clear purpose.",6,2
wf_0012,帮我把文章标题转成简洁好记的英文网址链接。,66.0,100.0,0.0,80,25.0,40,10,20,"Intent Match: Generated UTR uses 'llm_generation' for URL conversion, matching Ground Truth's intent, but lacks detailed prompt specification, scoring 40/100. Parameter Accuracy: Key parameters like prompt_template and model_config are missing; only basic input/output are present, scoring 10/100. Logic/Flow: Both have sequential order, but Generated UTR includes unnecessary control_intents, scoring 20/100. Completeness: Missing essential steps (e.g., prompt details, variables), includes hallucinations (resources, control_intents), scoring 30/100.",1,1
wf_0013,帮我把一段文字做成好看的卡片。,26.0,0.0,0.0,80,35.0,40,20,50,"Intent Match: Partial (40/100) - Generated UTR aims to create a card but uses different tools (llm_generation, image_generation) vs. Ground Truth's http_request to an image rendering API; both achieve card creation but with different methods. Parameter Accuracy: Low (20/100) - Key parameters like text input and style are vague ('一段文字', '好看') and do not match Ground Truth's specific API call with data and type; missing user input variables. Logic/Flow: Moderate (50/100) - Sequential order is correct, but Ground Truth has one action while Generated has two, introducing unnecessary steps. Completeness: Low (30/100) - Includes extra resources and control_intents not in Ground Truth, but misses user input variables and specific API details.",1,2
wf_0014,我想做一个能根据目标国家优化翻译的工具。,42.0,40.0,0.0,80,7.5,10,5,5,"The generated UTR fails to match the ground truth in all dimensions. Intent: It vaguely mentions translation optimization but lacks the multi-step LLM generation process for translation and country-specific refinement. Parameters: Missing all key parameters (source_text, target_lang, source_lang, country) and prompt templates; only includes an unrelated 'target_country' argument. Logic: Has only one action with no sequential flow for translation, suggestions, and improvement steps. Completeness: Omits 3 out of 4 necessary actions and all variables; includes unnecessary resources and control intents. The generated UTR is incomplete and does not achieve the goal of country-optimized translation.",4,1
wf_0015,我想把中文翻译成英文。,76.5,100.0,35.0,80,70.0,100,50,100,"Intent Match: Perfect - both UTRs achieve Chinese-to-English translation. Parameter Accuracy: Partial - generated UTR has correct language parameters but lacks the detailed prompt and model configuration from ground truth. Logic/Flow: Perfect - both are single-step sequential actions. Completeness: Low - generated UTR misses the detailed translation strategy, model specifications, and variable handling present in ground truth.",1,1
wf_0016,我想把一整本英文书翻译成中文，要翻译得准确流畅。,46.333333333333336,33.333333333333336,23.333333333333332,80,25.0,40,20,10,"The generated UTR partially matches the intent by aiming to translate English to Chinese, but it oversimplifies the process. The ground truth uses a multi-step approach with chunking, technical term identification, direct translation, problem identification, and free translation for accuracy and fluency, while the generated UTR uses a single 'translation' action. Parameters are minimal and lack key details like chunking and prompt specifics. Logic/flow is incorrect as it's sequential but misses the detailed conditional flow and iterative refinement. Completeness is poor, omitting all necessary steps for handling a full book and ensuring quality.",5,1
wf_0017,帮我优化一下英文提示词的翻译。,52.666666666666664,66.66666666666666,0.0,80,30.0,40,10,50,"Intent partially matches as both aim to translate and optimize English prompts, but Generated UTR splits into two actions (translation and optimization) vs. Ground Truth's single LLM action with detailed translation process, reducing intent alignment. Parameter accuracy is low: Generated UTR lacks key parameters like prompt template, model config, and variables, with vague args (e.g., 'source_text' not defined). Logic is partially correct with sequential order, but flow differs (two-step vs. integrated three-step process). Completeness is poor: missing essential steps (e.g., reflection, glossary use, output formatting) and includes unnecessary hallucination (second LLM action without args).",1,2
wf_0018,帮我根据网页链接自动改写文章，还能配上合适的图片。,41.58333333333333,33.33333333333333,7.5,80,28.0,40,10,30,"Intent Match: Generated UTR captures the basic goal (scrape, rewrite, add images) but misses nuanced conditional flows and multiple rewrite scenarios. Parameter Accuracy: Poor - lacks specific parameters like URLs, prompt templates, and search queries. Logic/Flow: Sequential order is correct but oversimplified; misses conditional branches for single/multi-section handling. Completeness: Incomplete - omits key steps like content validation, image search, and detailed rewrite logic with different prompts.",9,3
wf_0019,帮我写个能自动生成春联的工具。,73.66666666666666,66.66666666666666,70.0,80,15.0,20,10,10,"Generated UTR fails to match Ground Truth: Intent partially matches (both aim to generate couplets) but lacks specific LLM generation with detailed prompt. Parameter accuracy is poor (missing key parameters like prompt_template, model_config, and user variables). Logic/flow is incomplete (only one action vs. two sequential actions in Ground Truth). Completeness is low (missing code_execution action, variables, and detailed resources).",2,1
wf_0020,帮我生成一副春联。,67.0,50.0,70.0,80,30.0,40,10,50,"Intent partially matches (generates spring couplets but adds unnecessary image generation). Parameters are mostly missing or incorrect (no prompt template, model config, or user variables). Logic is partially correct (sequential order) but missing JSON parsing step. Completeness is poor (missing key actions like code_execution and user input variables).",2,2
